Geo,Year,Geo_ID,PUMS_Column,PUMS_Estimate,PUMS_MOE,ACS_Estimate,ACS_MOE,Difference
borough,2023,The Bronx,AGEP25-34 years_E,213519.0,1849.542163539061,215669.0,208.0,-2150.0
borough,2023,Brooklyn,AGE_CATUnder 18_E,594455.0,505.6728394599615,595037.0,0.0,-582.0
borough,2023,Staten Island,COMPUTER1_E,154568.0,1680.7662222740855,161127.0,1239.0,-6559.0
borough,2023,The Bronx,COMPUTER1_E,478287.0,2404.688097671921,491700.0,1971.0,-13413.0
borough,2023,Manhattan,COMPUTER1_E,715397.0,5146.034611623425,734954.0,4554.0,-19557.0
borough,2023,Brooklyn,COMPUTER1_E,908306.0,3460.2373822210525,934307.0,3239.0,-26001.0
borough,2023,Queens,COMPUTER1_E,765677.0,3129.65009051012,787359.0,3067.0,-21682.0
borough,2023,The Bronx,HISP1_E,776908.0,1514.6442349962913,779093.0,0.0,-2185.0
borough,2023,Manhattan,MIG3_E,242605.0,7404.853365026211,267047.0,6446.0,-24442.0
borough,2023,Brooklyn,MIG3_E,238006.0,7048.313495851863,257112.0,5030.0,-19106.0
borough,2023,Queens,MIG3_E,161447.0,5388.444683766945,181474.0,5534.0,-20027.0
borough,2023,Staten Island,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",289.0,178.45975661546217,765.0,147.0,-476.0
borough,2023,The Bronx,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",1434.0,539.6535261929639,3533.0,427.0,-2099.0
borough,2023,Brooklyn,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",1823.0,422.97777233266055,3477.0,497.0,-1654.0
borough,2023,Queens,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",3707.0,910.820694553132,6689.0,756.0,-2982.0
borough,2023,The Bronx,"RACE_HISPNative Hawaiian and Other Pacific Islander alone, not Hispanic or Latino_E",237.0,196.35540277771835,627.0,191.0,-390.0
borough,2023,Manhattan,"RACE_HISPNative Hawaiian and Other Pacific Islander alone, not Hispanic or Latino_E",276.0,117.94087887581642,638.0,141.0,-362.0
borough,2023,The Bronx,SEX2_E,745605.0,1629.6624874456368,748522.0,170.0,-2917.0
borough,2016,Staten Island,DECADE7_E,31812.0,2479.6462852481604,24312.0,1529.0,7500.0
borough,2016,The Bronx,DECADE7_E,245105.0,7876.031000508679,165965.0,3476.0,79140.0
borough,2016,Manhattan,DECADE7_E,215543.0,8148.485333067659,123995.0,4426.0,91548.0
borough,2016,Brooklyn,DECADE7_E,384061.0,6240.759007654337,264661.0,3699.0,119400.0
borough,2016,Queens,DECADE7_E,441463.0,6602.388935248362,317566.0,3942.0,123897.0
borough,2016,The Bronx,"HINCP$150,000-$199,999_E",11347.0,875.3081943635624,12865.0,638.0,-1518.0
borough,2016,Brooklyn,LANPOther Asian and Pacific Island_E,22714.0,2049.415774964295,18829.0,1464.0,3885.0
borough,2016,The Bronx,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",1770.0,508.6663456726816,3083.0,429.0,-1313.0
borough,2016,Manhattan,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",954.0,355.36721445569515,2089.0,384.0,-1135.0
borough,2016,Brooklyn,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",1658.0,408.9664867641969,4004.0,474.0,-2346.0
borough,2016,Queens,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",2566.0,659.5240752627989,4987.0,717.0,-2421.0
borough,2011,The Bronx,AGEP35 to 44 years_E,191352.0,1425.058192619691,189190.0,175.0,2162.0
borough,2011,Brooklyn,AGEP45 to 54 years_E,324446.0,1402.9840371917994,322658.0,98.0,1788.0
borough,2011,The Bronx,"NAICSP07Arts, entertainment, and recreation, and accommodation and food services_E",62306.0,3160.9225682816877,54254.0,2050.0,8052.0
borough,2011,Staten Island,"NAICSP07Educational services, and health care and social assistance_E",53111.0,1805.0447154080423,57462.0,1398.0,-4351.0
borough,2011,Brooklyn,"NAICSP07Educational services, and health care and social assistance_E",292997.0,4481.87354930837,307387.0,3858.0,-14390.0
borough,2011,Manhattan,"NAICSP07Finance and insurance, and real estate and rental and leasing_E",129128.0,3380.9547976416743,142028.0,3003.0,-12900.0
borough,2011,Brooklyn,"NAICSP07Finance and insurance, and real estate and rental and leasing_E",80865.0,2638.361469519719,89528.0,1963.0,-8663.0
borough,2011,Queens,"NAICSP07Finance and insurance, and real estate and rental and leasing_E",88328.0,2745.5389544035797,93773.0,2540.0,-5445.0
borough,2011,The Bronx,"NAICSP07Professional, scientific, and management, and administrative and waste management services_E",48428.0,1999.4700605891803,43573.0,1688.0,4855.0
borough,2011,The Bronx,NAICSP07Retail trade_E,69471.0,2992.535920980315,63394.0,2140.0,6077.0
borough,2011,Manhattan,NAICSP07Retail trade_E,69651.0,2667.228257235168,63936.0,2212.0,5715.0
borough,2011,Brooklyn,"NAICSP07Transportation and warehousing, and utilities_E",65553.0,2238.860410490681,71098.0,2024.0,-5545.0
borough,2011,Queens,"NAICSP07Transportation and warehousing, and utilities_E",76760.0,2787.8327316647337,84503.0,1772.0,-7743.0
borough,2011,The Bronx,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",1384.0,533.3177779968524,2981.0,498.0,-1597.0
borough,2011,Brooklyn,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",2335.0,523.7586744615788,3927.0,367.0,-1592.0
borough,2011,Queens,"RACE_HISPAmerican Indian or Alaska Native alone, not Hispanic or Latino_E",2571.0,668.2333408211537,5951.0,601.0,-3380.0
councildist_2023,2023,40,AGEP10-14 years_E,11228.0,684.0401407194814,9362.0,932.0,1866.0
councildist_2023,2023,44,AGEP10-14 years_E,14863.0,814.0776826796115,17336.0,1127.0,-2473.0
councildist_2023,2023,1,AGEP15-19 years_E,9368.0,934.1231924668432,7048.0,957.0,2320.0
councildist_2023,2023,2,AGEP15-19 years_E,8187.0,715.593062823474,12489.0,745.0,-4302.0
councildist_2023,2023,23,AGEP15-19 years_E,8535.0,372.8542949244951,6727.0,561.0,1808.0
councildist_2023,2023,2,AGEP20-24 years_E,14104.0,820.2841948808751,18309.0,1508.0,-4205.0
councildist_2023,2023,6,AGEP20-24 years_E,7574.0,783.7752164214423,5045.0,707.0,2529.0
councildist_2023,2023,7,AGEP20-24 years_E,13249.0,1007.4846951871662,15980.0,1271.0,-2731.0
councildist_2023,2023,39,AGEP20-24 years_E,7225.0,517.3816121870252,5744.0,605.0,1481.0
councildist_2023,2023,4,AGEP25-34 years_E,42471.0,1692.5708721836036,38366.0,2370.0,4105.0
councildist_2023,2023,32,AGEP25-34 years_E,23266.0,876.1387535895201,20087.0,1180.0,3179.0
councildist_2023,2023,34,AGEP25-34 years_E,42330.0,1198.9518350449018,48451.0,1619.0,-6121.0
councildist_2023,2023,40,AGEP25-34 years_E,28906.0,1045.9169519883949,32978.0,1587.0,-4072.0
councildist_2023,2023,41,AGEP25-34 years_E,31337.0,1156.5636611284806,28142.0,1730.0,3195.0
councildist_2023,2023,45,AGEP25-34 years_E,25617.0,875.4517514069969,22964.0,1265.0,2653.0
councildist_2023,2023,39,AGEP35 to 44 years_E,30041.0,1281.5903853528662,32938.0,1468.0,-2897.0
councildist_2023,2023,44,AGEP35 to 44 years_E,21443.0,782.5611056540516,17870.0,1110.0,3573.0
councildist_2023,2023,44,AGEP45 to 54 years_E,18234.0,750.9329238962945,15535.0,936.0,2699.0
councildist_2023,2023,33,AGEP5-9 years_E,9169.0,746.0492587194162,12417.0,1043.0,-3248.0
councildist_2023,2023,34,AGEP5-9 years_E,8817.0,726.8694801442832,7177.0,792.0,1640.0
councildist_2023,2023,36,AGEP5-9 years_E,9247.0,828.0715334048019,7567.0,829.0,1680.0
councildist_2023,2023,38,AGEP5-9 years_E,12598.0,693.1496027144902,10352.0,854.0,2246.0
councildist_2023,2023,40,AGEP5-9 years_E,9628.0,640.0173279521441,8028.0,794.0,1600.0
councildist_2023,2023,44,AGEP5-9 years_E,15389.0,789.5677932095286,18653.0,1075.0,-3264.0
councildist_2023,2023,44,AGEP55 to 59 years_E,8546.0,540.4249874501437,6723.0,693.0,1823.0
councildist_2023,2023,33,AGEP60 to 64 years_E,6210.0,534.2237363252993,5055.0,583.0,1155.0
councildist_2023,2023,23,AGEP65 to 74 years_E,19686.0,736.6264433921989,23726.0,1427.0,-4040.0
